date,open,low,high,close,adj_close,volume,shares_outstanding
2004-05-13,82.97,82.47,83.57,83.36,48.86,4924986,1769518200.0
2004-05-14,82.84,82.28,83.51,82.61,48.42,5436899,1769518200.0
2004-05-17,81.55,81.41,82.25,81.77,47.93,5962200,1769518200.0
2004-05-18,82.29,82.22,82.69,82.28,48.22,4603551,1769518200.0
2004-05-19,83.56,82.7,84.97,83.22,48.78,7773663,1769518200.0
2004-05-20,83.23,83.22,84.08,83.58,48.99,4216949,1769518200.0
2004-05-21,83.74,83.09,84.3,83.3,48.82,5365980,1769518200.0
2004-05-24,83.89,82.74,83.98,83.27,48.81,3951893,1769518200.0
2004-05-25,82.94,82.74,85.01,84.8,49.7,5604573,1769518200.0
2004-05-26,84.74,84.17,84.94,84.46,49.51,4506377,1769518200.0
2004-05-27,84.85,84.11,85.16,84.69,49.64,4282952,1769518200.0
2004-05-28,84.59,84.37,84.94,84.69,49.64,3351175,1769518200.0
2004-06-01,84.22,83.46,84.59,84.24,49.38,5108978,1769518200.0
2004-06-02,84.74,84.02,84.74,84.11,49.3,4092580,1769518200.0
2004-06-03,83.99,83.51,84.23,83.51,48.95,3150029,1769518200.0
2004-06-04,84.08,83.65,84.6,83.71,49.07,3978356,1769518200.0
2004-06-07,84.85,84.14,85.08,84.74,49.67,4460667,1769518200.0
2004-06-08,84.74,84.51,86.52,86.08,50.46,5648714,1769518200.0
2004-06-09,85.95,85.86,86.57,86.13,50.48,5474136,1769518200.0
2004-06-10,86.26,85.94,86.76,86.48,50.69,3628260,1769518200.0
