date,open,low,high,close,adj_close,volume
2001-01-17,134.84,132.64,135.05,133.45,87.98,7851400
2001-01-18,133.44,132.94,135.7,134.78,88.86,8107000
2001-01-19,136.19,133.88,136.19,134.02,88.35,7782500
2001-01-22,134.25,133.56,135.78,134.91,88.94,7050900
2001-01-23,134.47,134.16,136.66,135.97,89.64,8463100
2001-01-24,136.25,135.84,137.31,136.38,89.91,6199900
2001-01-25,136.25,135.66,137.25,136.03,89.68,10818300
2001-01-26,135.16,134.45,136.12,135.88,89.58,7136800
2001-01-29,135.5,135.37,136.9,136.6,90.06,6705900
2001-01-30,136.3,135.79,137.92,137.8,90.85,7069100
2001-01-31,137.4,136.6,138.7,137.02,90.34,9706900
2001-02-01,137.1,136.25,137.95,137.93,90.94,8239100
2001-02-02,137.4,134.75,137.99,134.8,88.87,8276600
2001-02-05,134.8,134.75,135.94,135.79,89.52,4352900
2001-02-06,135.3,135.22,136.7,135.39,89.26,7106700
2001-02-07,134.72,133.68,135.4,134.69,88.8,5748700
2001-02-08,134.8,133.1,135.4,133.12,87.76,5943300
2001-02-09,133.35,131.26,133.35,131.84,86.92,9913000
2001-02-12,131.7,131.7,133.5,133.35,87.92,5804400
2001-02-13,133.7,132.0,134.17,132.26,87.2,6587600
2001-02-14,132.65,130.66,132.65,132.06,87.07,8400100
2001-02-15,132.84,131.99,133.52,133.34,87.91,5929800
2001-02-16,131.0,129.3,131.29,130.4,85.97,6434900
2001-02-20,131.04,128.1,131.14,128.39,84.65,5760000
2001-02-21,127.9,125.5,128.84,125.62,82.82,10910800
2001-02-22,126.35,123.02,126.54,125.81,82.94,21281600
2001-02-23,125.08,121.8,125.54,124.96,82.38,20173000
2001-02-26,125.8,124.5,127.62,127.62,84.14,11503700
2001-02-27,126.8,125.51,127.84,126.44,83.36,11415000
2001-02-28,126.75,123.27,126.84,123.95,81.72,14825800
2001-03-01,124.05,121.75,124.6,124.6,82.15,14672000
2001-03-02,122.5,122.3,125.65,123.61,81.49,12564300
2001-03-05,124.15,123.81,124.78,124.74,82.24,5293200
2001-03-06,126.35,125.49,127.75,126.08,83.12,6917000
2001-03-07,126.9,125.76,127.04,126.98,83.72,6371700
2001-03-08,126.6,126.14,127.24,127.12,83.81,6055000
2001-03-09,126.1,123.11,126.1,123.36,81.33,10020300
2001-03-12,122.34,117.75,122.5,118.08,77.85,13972900
2001-03-13,119.4,117.53,120.44,120.02,79.13,12888000
2001-03-14,117.05,115.75,119.29,117.65,77.56,19883400
2001-03-15,118.45,117.36,118.86,117.68,77.58,10370300
2001-03-16,117.13,114.81,117.4,115.01,76.03,58514600
2001-03-19,115.76,114.82,117.69,117.35,77.58,10067800
2001-03-20,117.9,114.11,118.46,114.2,75.5,15083900
2001-03-21,114.18,111.9,115.26,112.26,74.21,19004600
2001-03-22,112.02,108.04,112.6,111.12,73.46,28624800
2001-03-23,113.25,111.5,114.66,114.48,75.68,12861700
2001-03-26,115.7,114.77,116.27,115.94,76.65,9943800
2001-03-27,115.62,115.28,118.65,118.31,78.21,12880700
2001-03-28,116.9,114.9,116.95,115.04,76.05,10953300
2001-03-29,114.7,112.14,116.5,115.48,76.34,12060300
2001-03-30,115.55,114.5,116.69,116.69,77.14,9183600
2001-04-02,116.3,113.8,117.38,114.2,75.5,10561000
2001-04-03,113.98,110.06,114.15,110.39,72.98,12836000
2001-04-04,110.57,109.3,112.1,110.85,73.28,14884300
2001-04-05,113.3,112.5,115.49,115.05,76.06,21522800
2001-04-06,113.99,112.06,114.4,113.3,74.9,14937800
2001-04-09,114.0,112.78,114.99,114.56,75.73,9034300
2001-04-10,115.45,115.17,117.75,116.65,77.12,17873600
2001-04-11,118.78,116.14,118.99,116.73,77.17,12722300
2001-04-12,116.3,115.96,118.94,118.85,78.57,9233200
2001-04-16,118.29,116.91,118.89,117.6,77.74,7350000
2001-04-17,117.31,117.02,119.66,119.26,78.84,10924700
2001-04-18,121.06,120.69,126.0,124.0,81.98,32481600
2001-04-19,124.25,123.58,125.84,125.65,83.07,13809900
2001-04-20,124.9,123.66,125.4,124.5,82.31,7626700
2001-04-23,123.65,121.91,123.89,122.24,80.81,8451800
2001-04-24,122.52,121.1,123.65,121.58,80.38,10044700
2001-04-25,121.42,120.95,123.67,123.17,81.43,8249000
2001-04-26,123.73,123.5,125.22,123.72,81.79,10590400
2001-04-27,124.92,124.2,125.84,125.78,83.15,7938700
2001-04-30,126.45,124.67,127.27,126.66,83.73,10766900
2001-05-01,125.07,124.6,127.15,127.05,83.99,10578000
2001-05-02,127.41,126.0,127.69,126.82,83.84,9572900
2001-05-03,126.13,124.22,126.15,125.21,82.78,9926200
2001-05-04,123.65,123.44,127.35,127.34,84.18,12145300
2001-05-07,126.86,126.23,127.38,126.24,83.46,7185200
2001-05-08,126.86,125.56,127.1,126.18,83.42,6952600
2001-05-09,125.25,125.06,126.55,125.65,83.07,9507400
2001-05-10,127.26,125.77,127.5,126.02,83.31,6872400
2001-05-11,126.0,124.4,126.49,125.15,82.74,7734400
2001-05-14,124.9,124.46,125.44,125.4,82.9,7914000
2001-05-15,125.55,124.85,126.5,125.98,83.28,9782200
2001-05-16,124.84,124.62,129.2,128.95,85.25,14909000
2001-05-17,129.0,128.56,130.08,129.15,85.38,11824600
2001-05-18,129.09,128.1,129.74,129.74,85.77,6683100
2001-05-21,129.84,129.15,131.84,131.65,87.03,11531500
2001-05-22,131.83,131.07,132.09,131.48,86.92,8342700
2001-05-23,131.05,129.25,131.05,129.25,85.45,12330800
2001-05-24,129.47,128.55,130.0,129.63,85.7,7902800
2001-05-25,129.65,127.9,129.7,128.1,84.69,7425000
2001-05-29,128.22,126.9,128.35,127.08,84.01,9003900
2001-05-30,126.59,125.0,127.09,125.3,82.83,10041800
2001-05-31,125.43,125.26,126.76,125.95,83.26,9874200
2001-06-01,126.2,125.12,127.1,126.73,83.78,8848300
2001-06-04,126.8,126.08,127.43,127.34,84.18,5623500
2001-06-05,127.49,127.27,129.23,128.8,85.15,9115400
2001-06-06,128.83,127.36,128.83,127.73,84.44,12064900
2001-06-07,127.05,127.0,128.35,128.19,84.75,7355300
2001-06-08,127.7,126.14,127.87,127.0,83.96,8170600
2001-06-11,126.71,125.41,126.99,126.1,83.36,7012200
2001-06-12,124.86,124.04,126.74,125.88,83.22,9364400
2001-06-13,126.17,124.65,126.58,124.8,82.5,7629400
2001-06-14,124.18,121.75,124.3,122.0,80.65,12603000
2001-06-15,120.91,120.4,122.4,121.85,80.78,16821100
2001-06-18,121.65,120.91,122.44,121.26,80.39,11368300
2001-06-19,122.38,120.89,122.89,121.79,80.74,7732300
2001-06-20,121.19,121.1,122.86,122.43,81.17,8787200
2001-06-21,122.22,122.15,124.31,123.82,82.09,12259100
2001-06-22,123.49,122.16,123.59,122.85,81.45,12212000
2001-06-25,123.28,121.5,123.44,121.72,80.7,8406800
2001-06-26,120.9,120.57,122.39,121.55,80.58,8005800
2001-06-27,121.6,120.91,122.24,121.48,80.54,10105100
2001-06-28,122.0,121.93,123.94,122.15,80.98,10269300
2001-06-29,122.8,122.26,124.01,122.6,81.28,9824200
2001-07-02,122.8,122.62,124.32,124.13,82.29,8522200
2001-07-03,123.98,123.05,124.1,124.1,82.27,3303100
2001-07-05,123.07,121.66,123.65,121.68,80.67,5517900
2001-07-06,121.31,119.05,121.49,119.05,78.93,11665900
2001-07-09,119.49,119.2,120.54,119.7,79.36,8339300
2001-07-10,120.29,118.21,120.64,118.26,78.4,8630700
2001-07-11,118.1,117.09,118.89,118.38,78.48,15328600
2001-07-12,119.5,119.31,121.47,121.19,80.35,12002800
2001-07-13,120.84,120.62,122.32,122.24,81.04,10433800
2001-07-16,121.77,120.29,122.28,120.71,80.03,6915300
2001-07-17,120.2,119.83,121.95,121.84,80.78,7469800
2001-07-18,120.56,120.06,121.64,121.01,80.23,7709300
2001-07-19,122.18,120.76,122.98,122.07,80.93,10082900
2001-07-20,121.15,120.92,121.94,121.34,80.45,6705800
2001-07-23,121.8,118.95,121.88,118.95,78.86,8065200
2001-07-24,119.0,116.75,119.2,117.8,78.1,12269000
